old_product_id,old_handle,sku,new_product_id,new_handle,status
"prod_01KP6FAQTKD6FJVB59ESZDZHM6","vevor-subterranean-wire-tracker-up-to-2-5m-detection-depth-voltage-ran-dxdldwq8ftlctslz2v9","DXDLDWQ3FTZSSNRRNV9","prod_01KPJV5JWR7R68JVNFH47SX4A9","vevor-underground-cable-locator-3-ft-max-detection-depth-wire-tracer-b-dxdldwq3ftzssnrrnv9","CREATED"
"prod_01KP6FAQTKD6FJVB59ESZDZHM6","vevor-subterranean-wire-tracker-up-to-2-5m-detection-depth-voltage-ran-dxdldwq8ftlctslz2v9","DXDLDWQ8FTLCTSLZ2V9","prod_01KPJV5K3A8H25S272HV4WDY2W","vevor-subterranean-wire-tracker-up-to-2-5m-detection-depth-voltage-ran-dxdldwq8ftlctslz2v9","CREATED"
"prod_01KP6FAQTKD6FJVB59ESZDZHM6","vevor-subterranean-wire-tracker-up-to-2-5m-detection-depth-voltage-ran-dxdldwq8ftlctslz2v9","DXDLDWQ65FTZOCK61V9","prod_01KPJV5K9SAQW8R78AGS40VP8B","vevor-subterranean-wire-locator-up-to-6-5-ft-detection-depth-earphone-dxdldwq65ftzock61v9","CREATED"
"prod_01KP6FAR5F0G11QRHRTZSTBJKG","vevor-10l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-sxjjkcsbqxj1skjlq001v2","SXJJKCSBQXJ1SKJLQ001V2","prod_01KPJV5KRGJV5M1CJCRGQBTAHJ","vevor-10l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-sxjjkcsbqxj1skjlq001v2","CREATED"
"prod_01KP6FAR5F0G11QRHRTZSTBJKG","vevor-10l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-sxjjkcsbqxj1skjlq001v2","SXJJKCSBQXJ6G06TW001V2","prod_01KPJV5KZ0ZS193AWA1HSXQX85","vevor-6l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-wi-sxjjkcsbqxj6g06tw001v2","CREATED"
"prod_01KP6FAR5F0G11QRHRTZSTBJKG","vevor-10l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-sxjjkcsbqxj1skjlq001v2","SXJJKCSBQXJ1D0UAJ001V2","prod_01KPJV5M5FQTJF0A5QJTZXSAAB","vevor-15l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-sxjjkcsbqxj1d0uaj001v2","CREATED"
"prod_01KP6FAR5F0G11QRHRTZSTBJKG","vevor-10l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-sxjjkcsbqxj1skjlq001v2","SXJJKCSBQXJ38E4T5001V2","prod_01KPJV5MB8TN09SYBJDP2Y3EZ3","vevor-30l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-sxjjkcsbqxj38e4t5001v2","CREATED"
"prod_01KP6FARECP6PC4ZBF47PJ8PR4","vevor-ash-bucket-4-pcs-with-lid-shovel-broom-and-gloves-metal-fireplac-blht4jtdgyxtvhe1a001v0","BLHT4JTDGYXTVHE1A001V0","prod_01KPJV5MSE3WH618SCBF53Q9WS","vevor-ash-bucket-4-pcs-with-lid-shovel-broom-and-gloves-metal-fireplac-blht4jtdgyxtvhe1a001v0","CREATED"
"prod_01KP6FARECP6PC4ZBF47PJ8PR4","vevor-ash-bucket-4-pcs-with-lid-shovel-broom-and-gloves-metal-fireplac-blht4jtdgyxtvhe1a001v0","BLHT4JTDGYXTGG4LL001V0","prod_01KPJV5MZF4QEK87C3EKDRJPQX","vevor-ash-bucket-4-pcs-with-lid-shovel-broom-and-gloves-metal-fireplac-blht4jtdgyxtgg4ll001v0","CREATED"
"prod_01KP6FARP576JXKVX5KVDRM5F2","vevor-fireplace-tool-set-4-pcs-fire-tool-set-and-holder-with-three-pro-blgjtj4jtszgob6qi001v0","BLGJTJ5JTWZGPZ6MX001V0","prod_01KPJV5NF97TPG9VGEV53N7YE8","vevor-fireplace-tool-set-5-pcs-fire-tool-set-and-holder-with-five-pron-blgjtj5jtwzgpz6mx001v0","CREATED"
"prod_01KP6FARP576JXKVX5KVDRM5F2","vevor-fireplace-tool-set-4-pcs-fire-tool-set-and-holder-with-three-pro-blgjtj4jtszgob6qi001v0","BLGJTJ5JTSZGDJ6II001V0","prod_01KPJV5NN83BWJ34YC8KAM9TXM","vevor-fireplace-tool-set-5-pcs-fire-tool-set-and-holder-with-four-pron-blgjtj5jtszgdj6ii001v0","CREATED"
"prod_01KP6FARP576JXKVX5KVDRM5F2","vevor-fireplace-tool-set-4-pcs-fire-tool-set-and-holder-with-three-pro-blgjtj4jtszgob6qi001v0","BLGJTJ5JTFKGGFSK1001V0","prod_01KPJV5NTRBGTMJZZPH3FB990Q","vevor-fireplace-tool-set-5-pcs-fire-tool-set-and-holder-with-square-fr-blgjtj5jtfkggfsk1001v0","CREATED"
"prod_01KP6FARP576JXKVX5KVDRM5F2","vevor-fireplace-tool-set-4-pcs-fire-tool-set-and-holder-with-three-pro-blgjtj4jtszgob6qi001v0","BLGJTJ5JTWZG9M137001V0","prod_01KPJV5P1PBY0YRY1CBMM27TPC","vevor-fireplace-tool-set-5-pcs-fire-tool-set-and-holder-with-five-pron-blgjtj5jtwzg9m137001v0","CREATED"
"prod_01KP6FARP576JXKVX5KVDRM5F2","vevor-fireplace-tool-set-4-pcs-fire-tool-set-and-holder-with-three-pro-blgjtj4jtszgob6qi001v0","BLGJTJ4JTSZGOB6QI001V0","prod_01KPJV5P89K1J9ZXJ797MP91AP","vevor-fireplace-tool-set-4-pcs-fire-tool-set-and-holder-with-three-pro-blgjtj4jtszgob6qi001v0","CREATED"
"prod_01KP6FARP576JXKVX5KVDRM5F2","vevor-fireplace-tool-set-4-pcs-fire-tool-set-and-holder-with-three-pro-blgjtj4jtszgob6qi001v0","BLGJTJ3JTCXGS1KU6001V0","prod_01KPJV5PEZYFTYFE70W77CGF3X","vevor-fireplace-tool-set-3-pcs-fire-tool-set-and-holder-with-stand-ton-blgjtj3jtcxgs1ku6001v0","CREATED"
"prod_01KP6FAS47GDY4ADQW19Z560KE","vevor-deep-squat-machine-adjustable-glutes-trainer-machine-with-3-high-sxsdjzlsgzlk1sonk001v0","SXSDJWLFTKDDM1SF5001V0","prod_01KPJV5PWW1KF55D5GMBYMWBSZ","vevor-sissy-squat-machine-multi-function-deep-sissy-squat-bench-for-le-sxsdjwlftkddm1sf5001v0","CREATED"
"prod_01KP6FAS47GDY4ADQW19Z560KE","vevor-deep-squat-machine-adjustable-glutes-trainer-machine-with-3-high-sxsdjzlsgzlk1sonk001v0","SXSDJZLSGZLK1SONK001V0","prod_01KPJV5Q3ND5HD436T9F3YFCAQ","vevor-deep-squat-machine-adjustable-glutes-trainer-machine-with-3-high-sxsdjzlsgzlk1sonk001v0","CREATED"
"prod_01KP6FASBX53ZE41BWPDCRDTA8","vevor-12v-linear-actuator-150mm-stroke-ultra-heavy-duty-9000n-linear-m-czxxxzxq9000d6j8m001v9","CZXXXZXQ9000NBK9C001V9","prod_01KPJV5QJ31R881Y9GSN0FD7VY","vevor-12v-linear-actuator-200mm-stroke-ultra-heavy-duty-9000n-linear-m-czxxxzxq9000nbk9c001v9","CREATED"
"prod_01KP6FASBX53ZE41BWPDCRDTA8","vevor-12v-linear-actuator-150mm-stroke-ultra-heavy-duty-9000n-linear-m-czxxxzxq9000d6j8m001v9","CZXXXZXQ9000D6J8M001V9","prod_01KPJV5QRK5NETGTZ2NCBRA03R","vevor-12v-linear-actuator-150mm-stroke-ultra-heavy-duty-9000n-linear-m-czxxxzxq9000d6j8m001v9","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","ZHSKU00000000000502","prod_01KPJV5R9JDCZFTC48B2HSFGDY","vevor-commercial-ice-maker-machine-136kg-24h-ice-making-machine-with-1-zhsku00000000000502","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","FTZBJJTXFB30BP3NB001V2","prod_01KPJV5RFBM0TF7EYH37XR5XNP","vevor-commercial-ice-maker-machine-head-136-kg-day-stainless-steel-ice-ftzbjjtxfb30bp3nb001v2","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","FTZBJJTXFB55OJG85001V2","prod_01KPJV5RNR7Z3YX6GFW5RDJ9HJ","vevor-commercial-ice-maker-machine-head-250-kg-day-stainless-steel-ice-ftzbjjtxfb55ojg85001v2","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","FTZBJJTXFB40B6APE001V2","prod_01KPJV5RVW18XQ9QVA379NSG91","vevor-commercial-ice-maker-machine-head-181-kg-day-stainless-steel-ice-ftzbjjtxfb40b6ape001v2","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","ZHSKU00000000000505","prod_01KPJV5S1WRSMXZXBE8J1X5GH3","vevor-commercial-ice-maker-machine-250kg-24h-ice-making-machine-with-1-zhsku00000000000505","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","ZHSKU00000000000504","prod_01KPJV5S7F69WRN4SEPG2BFZXY","vevor-commercial-ice-maker-machine-204kg-24h-ice-making-machine-with-1-zhsku00000000000504","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","ZHSKU00000000000503","prod_01KPJV5SDVSBCG5SCKJX5TJFXA","vevor-commercial-ice-maker-machine-181kg-24h-ice-making-machine-with-1-zhsku00000000000503","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","FTZBJJTXFB36KU3G1001V2","prod_01KPJV5SM6J28JJFTSB3JZE90R","vevor-commercial-ice-maker-machine-head-163-kg-day-stainless-steel-ice-ftzbjjtxfb36ku3g1001v2","CREATED"
"prod_01KP6FAST1RV6Q4GPVP2FNRG7X","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","FTZBJJTXFB45HO1GS001V2","prod_01KPJV5STRG54F8DC5GFCNPESE","vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2","CREATED"
